crop_name,area,soil_type,season,irrigation_type,rainfall,temperature,humidity,yield_tons
tomato,2.36,black,rabi,flood,362.4,21.5,50.7,9.45
potato,3.53,sandy,kharif,sprinkler,1060.4,20.3,82.6,18.19
wheat,6.47,clay,kharif,sprinkler,1089.7,31.0,82.1,20.81
rice,7.45,loamy,zaid,drip,414.9,23.8,73.2,47.58
rice,7.63,black,kharif,flood,979.1,21.5,86.1,36.51
chili,1.45,clay,kharif,flood,348.1,34.4,83.9,2.57
wheat,1.29,sandy,rabi,flood,382.5,29.0,72.1,3.21
rice,1.37,sandy,kharif,flood,745.0,20.9,72.0,5.27
cauliflower,1.61,loamy,zaid,flood,428.7,31.4,74.7,4.7
cauliflower,1.19,clay,kharif,rainfed,1039.7,30.6,53.3,2.85
potato,8.86,black,kharif,drip,513.0,33.6,73.7,59.59
potato,4.53,loamy,rabi,flood,1115.7,21.7,69.7,27.76
wheat,6.67,black,kharif,flood,971.4,28.8,88.5,21.67
tomato,4.65,loamy,kharif,sprinkler,1021.9,34.7,72.2,27.65
cabbage,1.2,loamy,zaid,rainfed,798.5,34.5,70.9,4.17
tomato,4.15,loamy,rabi,sprinkler,963.4,33.7,88.3,21.08
cabbage,2.11,black,kharif,rainfed,882.2,25.8,59.2,6.56
rice,0.81,loamy,zaid,sprinkler,551.8,26.2,74.1,3.93
potato,4.46,loamy,rabi,sprinkler,823.0,33.8,53.3,36.72
rice,8.2,sandy,kharif,sprinkler,1188.5,22.3,73.8,37.12
cabbage,8.46,sandy,zaid,drip,721.8,26.2,60.9,25.42
cabbage,10.0,black,kharif,drip,1197.0,28.3,80.8,60.36
potato,2.45,loamy,kharif,sprinkler,526.3,24.1,58.3,19.36
brinjal,3.05,black,rabi,rainfed,320.0,27.5,69.0,12.32
onion,9.7,black,kharif,sprinkler,379.6,31.9,73.6,43.24
cauliflower,6.57,sandy,kharif,drip,1024.5,33.5,74.7,29.25
onion,5.77,clay,rabi,sprinkler,381.9,30.9,71.9,24.63
cauliflower,9.52,clay,zaid,drip,432.4,33.9,69.7,30.81
brinjal,5.18,loamy,rabi,sprinkler,595.9,29.5,59.6,20.56
chili,1.94,sandy,zaid,rainfed,424.9,29.6,57.3,2.67
potato,6.84,black,zaid,flood,455.1,22.9,51.6,31.54
cabbage,5.58,loamy,rabi,drip,620.4,33.4,55.1,24.32
chili,6.47,clay,kharif,flood,373.6,33.1,86.8,10.07
wheat,2.25,loamy,kharif,flood,488.4,25.6,69.4,8.46
cauliflower,1.09,clay,rabi,drip,433.0,22.0,77.5,4.84
onion,4.27,clay,rabi,flood,394.4,31.1,57.3,16.42
tomato,5.59,sandy,rabi,sprinkler,509.9,25.1,69.0,26.41
chili,6.05,loamy,rabi,flood,963.1,28.4,73.5,18.11
chili,6.64,loamy,rabi,rainfed,813.7,25.3,89.5,15.26
tomato,1.95,loamy,rabi,drip,521.4,22.4,57.5,11.61
brinjal,0.99,sandy,kharif,flood,316.4,30.5,89.9,3.25
wheat,0.55,black,zaid,rainfed,1177.6,27.4,78.9,1.9
onion,5.03,sandy,zaid,rainfed,1054.7,23.1,88.7,15.56
wheat,1.59,loamy,kharif,rainfed,849.6,24.3,73.2,4.38
wheat,0.99,loamy,zaid,flood,602.9,22.0,52.5,3.65
brinjal,6.97,clay,kharif,flood,984.2,28.9,68.9,27.4
tomato,9.67,loamy,rabi,rainfed,411.9,31.0,87.5,37.21
potato,8.5,loamy,rabi,rainfed,425.8,31.9,58.1,39.23
rice,6.82,loamy,kharif,flood,770.8,25.4,85.1,32.78
brinjal,4.08,black,zaid,rainfed,716.4,24.5,79.9,13.39
chili,4.15,loamy,kharif,flood,789.2,33.6,75.0,8.86
cabbage,3.68,sandy,zaid,flood,425.3,31.9,74.8,10.46
cauliflower,7.65,sandy,kharif,sprinkler,936.3,31.7,55.7,22.0
onion,7.67,clay,kharif,flood,392.6,28.0,65.2,28.89
wheat,5.63,black,zaid,drip,737.7,26.1,80.9,17.75
potato,6.19,sandy,rabi,flood,1044.1,34.4,63.7,30.39
cauliflower,6.34,sandy,rabi,sprinkler,1120.7,22.1,54.0,20.07
brinjal,1.47,black,zaid,rainfed,1126.9,31.9,50.9,5.14
tomato,1.15,black,zaid,sprinkler,369.6,21.6,83.6,6.61
tomato,2.07,clay,kharif,drip,467.7,32.6,63.3,10.35
potato,4.1,black,zaid,drip,969.8,23.1,81.5,31.43
potato,9.24,sandy,kharif,sprinkler,611.7,25.2,79.5,50.09
potato,2.07,clay,kharif,flood,330.5,24.7,81.2,9.85
onion,9.77,loamy,kharif,flood,713.1,28.4,84.4,44.54
brinjal,3.44,loamy,zaid,drip,657.6,26.4,82.0,15.64
tomato,8.45,loamy,kharif,sprinkler,828.7,24.4,78.6,53.83
cabbage,5.22,black,kharif,sprinkler,988.8,21.5,63.4,19.18
potato,9.03,black,rabi,sprinkler,773.9,32.0,89.2,69.75
cauliflower,2.61,loamy,kharif,drip,508.0,30.1,50.8,9.18
rice,5.79,sandy,zaid,drip,948.7,32.1,89.5,26.01
wheat,2.45,black,kharif,sprinkler,563.8,33.4,50.5,6.71
cauliflower,2.22,loamy,zaid,rainfed,824.7,26.3,85.7,7.86
wheat,4.11,sandy,rabi,flood,831.3,24.0,75.0,11.89
chili,2.59,clay,kharif,rainfed,1177.1,31.7,54.6,5.11
cauliflower,0.71,black,kharif,sprinkler,541.8,28.1,75.3,2.61
cabbage,9.85,clay,zaid,sprinkler,773.1,22.6,60.9,28.95
onion,5.98,black,kharif,sprinkler,546.6,28.3,76.1,32.28
cauliflower,1.8,loamy,rabi,sprinkler,1110.0,33.1,73.9,8.92
chili,9.19,loamy,zaid,sprinkler,676.9,25.7,70.8,20.95
cabbage,1.36,sandy,kharif,flood,993.9,21.0,83.5,4.14
wheat,6.3,loamy,zaid,flood,1154.4,25.9,88.2,19.13
brinjal,5.63,loamy,rabi,rainfed,445.8,32.6,83.9,22.63
onion,1.51,loamy,rabi,sprinkler,367.6,30.9,69.8,8.24
chili,1.24,sandy,zaid,flood,302.1,34.5,50.2,1.6
rice,9.64,black,zaid,flood,1011.0,30.4,70.9,40.63
brinjal,7.71,sandy,zaid,drip,951.7,29.6,89.2,33.39
chili,0.92,loamy,rabi,flood,829.4,35.0,72.2,2.43
cauliflower,7.44,clay,zaid,drip,473.3,21.7,66.9,30.18
wheat,5.46,sandy,zaid,sprinkler,880.1,29.8,64.6,16.89
onion,3.73,sandy,kharif,flood,952.3,21.0,62.6,13.64
cabbage,5.44,loamy,kharif,sprinkler,684.1,33.1,66.7,23.62
onion,2.26,clay,zaid,flood,645.6,34.0,52.8,6.15
tomato,5.06,loamy,rabi,drip,822.7,24.1,65.9,31.12
cauliflower,2.77,black,kharif,drip,399.4,25.3,61.5,10.66
rice,9.88,loamy,kharif,drip,685.0,25.8,77.2,54.39
rice,6.09,loamy,kharif,flood,1184.1,33.3,74.0,38.84
onion,1.12,loamy,zaid,rainfed,661.4,32.6,59.2,4.44
onion,2.27,loamy,rabi,drip,1001.6,25.3,52.3,15.83
tomato,9.95,loamy,zaid,rainfed,456.5,25.9,80.3,46.31
brinjal,6.42,sandy,zaid,sprinkler,973.1,20.5,85.8,24.65
chili,1.73,black,zaid,flood,1099.9,34.3,84.5,4.46
brinjal,1.33,loamy,kharif,flood,667.6,25.6,60.4,6.16
onion,1.54,clay,kharif,rainfed,1105.0,34.9,52.5,5.81
potato,6.79,clay,zaid,rainfed,789.4,33.0,79.4,30.85
brinjal,8.74,black,kharif,flood,937.5,32.6,77.9,38.89
cabbage,8.87,black,zaid,drip,1084.7,20.4,83.0,33.7
rice,0.51,clay,zaid,flood,800.6,31.3,60.3,1.86
tomato,2.97,loamy,kharif,rainfed,870.6,28.1,81.2,12.3
cauliflower,8.48,clay,kharif,rainfed,652.9,22.7,80.1,25.86
wheat,3.36,black,rabi,rainfed,937.4,21.0,73.3,9.92
brinjal,9.91,sandy,rabi,sprinkler,908.4,26.7,75.9,42.31
cauliflower,3.57,loamy,zaid,drip,739.8,31.6,77.3,15.29
onion,4.79,loamy,kharif,flood,447.3,31.9,77.7,18.08
onion,6.72,sandy,rabi,rainfed,545.9,34.3,56.0,18.46
rice,9.66,sandy,kharif,flood,984.1,26.6,62.5,38.27
cabbage,2.4,sandy,rabi,drip,1081.3,30.7,72.5,10.32
brinjal,8.75,black,rabi,drip,998.9,31.6,83.8,50.1
potato,9.25,loamy,kharif,rainfed,855.0,31.9,69.3,46.03
tomato,2.64,clay,kharif,sprinkler,444.7,29.8,63.0,13.87
brinjal,0.61,sandy,kharif,drip,365.2,25.9,69.2,2.47
chili,0.88,loamy,rabi,drip,732.5,21.6,59.7,3.24
cabbage,7.87,clay,kharif,sprinkler,1147.1,21.1,71.4,38.26
tomato,3.56,loamy,rabi,sprinkler,1179.7,23.0,77.7,28.14
cauliflower,6.55,black,kharif,rainfed,935.8,20.5,87.4,16.12
chili,8.12,clay,rabi,rainfed,605.5,32.2,53.2,16.8
wheat,4.8,clay,rabi,sprinkler,879.2,27.9,79.3,14.87
cabbage,2.02,black,zaid,rainfed,1084.6,23.3,89.0,5.94
brinjal,6.76,loamy,zaid,drip,748.4,28.3,78.8,29.92
brinjal,1.27,loamy,zaid,flood,662.9,23.3,66.7,4.59
cauliflower,9.63,black,kharif,sprinkler,674.3,32.7,75.2,41.83
wheat,5.38,black,rabi,drip,829.3,20.4,65.8,24.15
onion,3.13,black,rabi,flood,833.1,33.7,58.4,14.56
brinjal,1.75,loamy,zaid,drip,944.2,33.6,57.2,7.49
onion,1.16,sandy,kharif,drip,693.4,21.5,66.2,5.05
cauliflower,2.05,loamy,rabi,flood,652.0,34.5,60.3,8.26
tomato,4.81,black,kharif,flood,512.4,21.1,56.8,23.44
chili,6.08,loamy,kharif,rainfed,1153.7,23.8,64.4,13.76
rice,5.01,sandy,kharif,rainfed,1059.8,32.1,73.4,20.57
wheat,1.67,clay,rabi,sprinkler,508.0,20.8,75.6,4.95
rice,1.48,loamy,zaid,drip,826.2,30.3,65.9,8.86
onion,8.75,loamy,rabi,drip,709.3,27.7,69.6,57.16
wheat,1.86,sandy,rabi,drip,1145.8,31.0,56.5,5.91
cauliflower,2.73,black,kharif,rainfed,1167.0,23.8,76.5,11.19
onion,8.75,clay,kharif,sprinkler,813.5,20.5,87.2,38.3
tomato,6.76,loamy,zaid,flood,654.5,29.8,54.3,36.29
onion,9.78,black,rabi,flood,666.2,33.1,81.3,43.43
chili,7.77,sandy,rabi,drip,1133.1,26.6,86.1,23.61
cauliflower,4.07,sandy,kharif,flood,567.2,29.7,63.1,12.51
cauliflower,4.19,sandy,kharif,flood,703.8,23.6,64.9,11.25
potato,6.39,black,rabi,sprinkler,717.1,25.7,84.5,46.11
cabbage,3.74,black,kharif,drip,642.2,26.0,73.2,18.21
cauliflower,7.3,clay,rabi,sprinkler,769.1,32.3,67.2,33.04
rice,6.72,black,zaid,drip,642.1,23.0,69.2,33.01
wheat,6.87,black,kharif,rainfed,1136.6,28.0,73.2,18.81
onion,4.43,clay,kharif,drip,409.7,22.7,77.2,17.04
cauliflower,2.26,sandy,kharif,sprinkler,1126.0,26.4,53.5,8.86
brinjal,9.54,loamy,rabi,flood,841.5,32.3,85.4,36.72
chili,4.4,sandy,rabi,rainfed,1055.9,33.5,64.1,7.2
rice,8.31,black,rabi,rainfed,681.4,30.0,53.8,35.95
tomato,2.1,sandy,rabi,drip,963.2,32.9,58.7,9.58
rice,2.46,sandy,zaid,rainfed,874.2,23.9,75.3,6.71
chili,7.1,clay,zaid,flood,663.9,26.4,78.7,16.13
cauliflower,6.23,black,rabi,flood,603.5,33.6,80.9,20.28
rice,3.57,loamy,zaid,drip,504.0,25.3,52.8,19.28
onion,2.72,black,kharif,rainfed,786.0,33.2,76.0,10.14
potato,9.94,clay,rabi,sprinkler,895.7,28.4,79.2,67.72
brinjal,9.64,clay,rabi,rainfed,871.5,31.3,56.8,30.27
chili,6.82,sandy,kharif,rainfed,1015.9,33.9,59.4,10.97
brinjal,9.31,clay,kharif,rainfed,786.0,32.6,70.8,31.35
onion,1.71,black,zaid,rainfed,1043.5,31.7,78.3,5.15
tomato,3.92,sandy,rabi,drip,378.9,34.1,72.2,18.13
wheat,6.21,clay,zaid,sprinkler,764.1,33.8,69.9,24.11
rice,9.34,black,rabi,rainfed,404.7,32.3,65.2,43.38
cabbage,8.28,sandy,zaid,rainfed,590.3,20.3,56.2,17.0
wheat,5.96,clay,rabi,drip,731.4,24.7,74.3,20.37
cabbage,5.27,clay,kharif,rainfed,658.8,22.2,64.7,12.82
onion,9.65,black,kharif,flood,794.6,34.5,67.3,38.82
wheat,8.59,clay,kharif,rainfed,300.3,20.3,74.1,19.09
potato,4.87,loamy,zaid,sprinkler,352.3,34.9,52.3,30.29
chili,1.85,sandy,zaid,drip,409.2,24.5,54.0,4.04
tomato,8.23,black,zaid,rainfed,853.7,24.6,75.0,37.7
cauliflower,8.92,clay,zaid,drip,704.8,22.9,64.7,32.81
cauliflower,9.66,loamy,kharif,sprinkler,523.7,22.0,66.7,44.22
rice,2.3,clay,zaid,sprinkler,857.1,24.9,83.4,11.21
rice,0.91,clay,kharif,drip,634.3,24.0,75.8,4.74
cauliflower,1.93,loamy,rabi,sprinkler,592.2,31.1,69.0,8.17
wheat,7.96,loamy,rabi,sprinkler,1102.9,34.3,81.5,30.65
tomato,8.49,clay,kharif,drip,334.6,33.5,68.5,47.75
onion,6.55,black,zaid,sprinkler,852.5,21.0,70.7,26.58
tomato,0.9,sandy,kharif,rainfed,376.3,30.7,52.9,2.4
brinjal,7.51,loamy,kharif,rainfed,617.9,24.4,64.0,30.11
cauliflower,4.42,sandy,zaid,flood,794.7,32.5,52.7,11.45
tomato,4.13,sandy,kharif,drip,485.1,21.8,74.6,22.55
chili,0.9,loamy,rabi,flood,1171.6,32.0,61.7,3.05
cabbage,7.61,loamy,kharif,rainfed,1030.6,29.8,55.1,25.27
brinjal,4.04,clay,zaid,drip,688.9,26.6,74.5,20.78
wheat,0.62,loamy,zaid,sprinkler,1193.2,30.1,62.7,2.92
chili,7.67,sandy,rabi,drip,714.5,32.6,79.1,20.4
cabbage,9.41,clay,zaid,drip,338.9,22.5,55.3,36.06
onion,1.93,sandy,zaid,flood,608.1,26.2,80.3,7.04
potato,1.94,sandy,rabi,flood,384.4,28.7,85.1,9.23
brinjal,8.21,clay,rabi,rainfed,967.5,33.2,61.1,24.0
onion,7.55,sandy,kharif,sprinkler,1033.6,29.2,77.5,30.02
chili,7.73,black,rabi,sprinkler,331.8,31.2,58.1,22.9
chili,1.91,black,zaid,rainfed,575.0,33.1,89.9,3.14
wheat,2.56,black,rabi,rainfed,424.0,29.9,50.1,5.98
cabbage,1.38,clay,kharif,drip,829.4,27.2,75.7,5.13
cauliflower,6.93,black,rabi,rainfed,1024.5,24.0,83.0,23.59
potato,7.96,clay,kharif,rainfed,936.9,31.8,70.7,40.11
wheat,4.62,clay,zaid,drip,379.7,23.3,73.9,16.76
chili,2.15,black,rabi,drip,873.8,27.4,57.1,7.29
cauliflower,2.43,loamy,rabi,rainfed,809.0,34.7,56.6,8.53
cabbage,9.33,loamy,rabi,drip,1004.3,20.8,84.1,42.21
rice,8.13,loamy,kharif,rainfed,712.4,27.2,55.3,29.0
cauliflower,4.65,sandy,rabi,flood,956.6,31.5,56.4,15.26
chili,0.63,sandy,kharif,rainfed,554.5,20.7,51.5,0.84
cauliflower,9.76,black,rabi,rainfed,634.1,26.4,83.8,28.52
chili,6.39,loamy,zaid,rainfed,805.8,25.2,62.6,15.04
cabbage,7.46,sandy,zaid,sprinkler,793.5,21.9,85.3,22.43
brinjal,5.2,black,rabi,drip,1181.6,22.2,79.0,24.99
tomato,9.5,sandy,zaid,drip,1170.6,22.7,50.9,51.7
chili,5.68,sandy,rabi,flood,1182.5,23.4,66.2,13.24
cauliflower,6.32,clay,kharif,drip,503.5,32.7,67.1,20.73
cabbage,1.43,black,kharif,sprinkler,1075.8,26.9,80.0,6.11
brinjal,9.79,clay,zaid,sprinkler,1014.6,27.5,63.6,47.58
wheat,2.45,clay,rabi,flood,1090.0,33.2,84.8,7.09
chili,7.83,black,rabi,rainfed,324.5,21.0,68.6,18.23
tomato,4.03,clay,zaid,sprinkler,706.5,26.0,53.7,19.38
brinjal,3.23,black,rabi,rainfed,1013.6,28.7,75.4,14.32
brinjal,7.11,clay,rabi,rainfed,1013.9,24.8,84.3,28.13
onion,6.18,sandy,rabi,drip,330.0,25.5,79.3,28.9
rice,9.69,black,rabi,sprinkler,1071.2,21.8,79.6,52.37
tomato,1.66,sandy,kharif,flood,952.7,24.8,89.9,8.5
cauliflower,5.82,black,zaid,drip,774.7,30.8,85.6,19.62
rice,8.65,sandy,kharif,rainfed,1037.2,28.1,78.4,28.99
onion,2.92,sandy,kharif,drip,1037.3,33.2,71.0,11.86
brinjal,2.78,clay,rabi,drip,427.8,25.2,68.0,13.97
chili,8.49,sandy,rabi,drip,724.2,34.7,75.4,17.29
onion,0.54,clay,zaid,rainfed,913.5,22.5,76.2,2.12
cauliflower,7.09,sandy,zaid,flood,761.4,24.6,58.5,16.32
rice,9.41,loamy,rabi,rainfed,1084.1,31.5,81.5,47.3
onion,6.87,sandy,kharif,sprinkler,804.4,21.7,67.9,26.94
wheat,4.42,loamy,rabi,flood,1022.1,27.2,50.7,16.46
cabbage,7.22,sandy,rabi,rainfed,1175.5,32.4,78.0,24.54
cauliflower,3.4,clay,zaid,drip,1046.5,24.2,84.9,11.25
cabbage,1.42,loamy,kharif,rainfed,517.7,20.2,68.8,4.31
rice,7.44,sandy,kharif,flood,838.9,21.0,85.1,32.17
cabbage,1.25,loamy,zaid,flood,515.6,31.9,51.4,4.44
onion,1.1,loamy,zaid,drip,1048.2,29.0,54.6,5.0
chili,1.11,black,zaid,drip,1160.2,20.4,77.8,2.7
cabbage,1.81,black,rabi,flood,606.7,22.5,56.8,8.14
cabbage,6.58,black,kharif,drip,908.8,22.0,59.4,34.28
potato,6.21,clay,rabi,rainfed,969.2,27.6,75.4,28.61
chili,4.99,clay,kharif,drip,341.1,22.1,61.1,14.1
tomato,4.75,sandy,rabi,flood,726.9,28.9,71.5,25.82
tomato,1.53,clay,zaid,rainfed,605.0,32.0,72.9,5.88
cabbage,8.26,clay,kharif,drip,556.1,32.3,71.3,39.25
cauliflower,6.92,loamy,zaid,drip,340.4,26.8,87.2,23.9
brinjal,8.88,black,zaid,rainfed,903.8,23.9,77.0,28.0
cauliflower,0.51,black,rabi,drip,872.8,20.8,60.3,1.95
wheat,6.82,clay,rabi,sprinkler,1020.3,29.9,53.7,25.56
brinjal,4.34,black,kharif,drip,589.0,31.2,66.5,22.14
onion,0.6,sandy,zaid,drip,872.5,33.7,74.5,2.79
wheat,9.07,clay,zaid,drip,359.8,28.0,55.7,23.45
potato,5.98,sandy,kharif,flood,339.4,21.8,72.3,26.66
cauliflower,8.53,black,kharif,sprinkler,923.2,26.4,76.9,33.86
rice,4.74,clay,rabi,sprinkler,1018.5,32.3,84.3,28.1
cauliflower,0.62,black,zaid,rainfed,633.0,20.4,65.7,1.79
onion,1.85,black,kharif,flood,1101.1,25.2,56.2,6.95
onion,4.17,black,zaid,flood,1012.5,28.9,54.1,20.23
brinjal,1.5,clay,rabi,drip,450.6,34.6,59.1,7.38
potato,1.44,sandy,kharif,rainfed,488.0,33.9,66.6,5.63
cabbage,5.13,sandy,kharif,flood,417.0,32.5,64.8,14.24
potato,9.95,sandy,rabi,rainfed,790.8,21.3,74.3,39.3
tomato,9.81,loamy,rabi,rainfed,730.1,28.0,56.7,43.84
cauliflower,8.35,sandy,zaid,sprinkler,938.1,22.7,70.3,29.93
rice,5.68,black,zaid,flood,448.7,28.7,90.0,20.24
onion,9.94,sandy,zaid,drip,1092.3,29.4,72.8,46.75
rice,0.87,sandy,kharif,rainfed,728.0,28.1,59.1,3.49
rice,5.57,clay,zaid,sprinkler,1083.0,22.0,81.6,22.41
tomato,0.83,black,kharif,sprinkler,1172.6,34.2,70.5,4.42
wheat,3.37,black,rabi,flood,742.3,27.8,72.5,12.43
chili,8.72,sandy,rabi,drip,1182.7,26.1,83.1,25.99
wheat,2.4,sandy,kharif,flood,398.3,32.8,67.6,7.05
brinjal,2.93,sandy,zaid,sprinkler,327.7,34.6,58.8,9.56
onion,0.79,black,rabi,drip,1084.8,27.9,75.3,5.12
onion,5.52,loamy,zaid,rainfed,1014.1,34.9,58.0,24.11
brinjal,0.92,sandy,rabi,flood,607.6,29.5,52.8,2.39
brinjal,8.9,loamy,kharif,flood,930.0,21.6,66.0,43.0
wheat,3.41,clay,zaid,sprinkler,794.2,29.5,73.1,12.38
potato,6.98,sandy,rabi,rainfed,401.6,32.6,59.7,28.4
onion,6.84,clay,rabi,drip,490.0,33.0,66.1,29.51
brinjal,0.71,clay,zaid,flood,824.9,32.6,72.0,2.26
rice,6.65,sandy,kharif,flood,410.6,33.3,70.1,24.18
wheat,6.55,black,rabi,rainfed,773.7,26.9,59.4,18.83
cabbage,1.86,clay,zaid,rainfed,997.8,24.1,69.9,5.3
onion,1.02,black,rabi,flood,973.8,24.8,50.0,4.66
onion,9.01,black,rabi,sprinkler,824.9,27.0,63.6,56.82
chili,5.87,loamy,zaid,flood,1079.9,28.6,86.3,17.39
potato,9.4,loamy,rabi,rainfed,907.6,21.7,51.7,54.6
chili,1.82,black,zaid,sprinkler,528.8,33.1,57.3,3.83
tomato,3.33,black,zaid,drip,394.8,31.7,75.8,15.45
rice,8.73,clay,zaid,rainfed,728.4,21.7,75.4,34.02
chili,2.27,black,zaid,drip,796.9,26.2,78.8,6.16
cabbage,6.65,sandy,rabi,rainfed,1016.6,31.3,51.4,17.68
brinjal,3.5,sandy,rabi,flood,880.3,25.9,78.5,11.21
wheat,6.84,loamy,zaid,flood,1041.0,31.7,71.8,20.98
rice,7.24,clay,rabi,sprinkler,1154.0,20.5,79.4,35.63
cabbage,8.84,black,kharif,flood,337.5,26.0,80.5,31.36
tomato,1.69,black,rabi,rainfed,315.3,31.6,82.3,6.05
cabbage,7.84,sandy,kharif,drip,766.2,25.2,64.9,24.6
rice,8.85,black,kharif,flood,908.0,28.2,83.2,46.12
brinjal,1.95,black,kharif,sprinkler,1109.5,30.7,87.5,9.27
cauliflower,9.6,black,rabi,rainfed,1148.5,31.8,89.7,32.25
cabbage,7.39,loamy,kharif,flood,857.8,33.4,83.9,26.79
potato,5.51,sandy,kharif,drip,1115.8,22.5,75.7,40.85
wheat,5.62,clay,rabi,rainfed,354.6,30.3,77.6,16.74
wheat,0.92,black,kharif,flood,674.1,24.5,80.4,2.91
rice,3.11,clay,kharif,sprinkler,1026.3,26.9,71.9,16.51
potato,5.07,clay,rabi,drip,1107.9,30.1,55.5,45.52
onion,6.76,sandy,zaid,rainfed,398.0,29.5,69.9,18.21
chili,4.65,black,zaid,drip,834.2,21.1,74.9,15.49
wheat,9.13,black,zaid,drip,1149.3,34.4,70.9,45.33
cauliflower,5.03,black,kharif,sprinkler,946.5,23.7,75.6,23.01
wheat,8.62,black,rabi,sprinkler,842.8,32.5,81.4,31.59
rice,2.19,black,rabi,rainfed,763.2,32.1,60.2,8.34
potato,1.63,black,kharif,drip,560.0,26.0,86.8,13.9
chili,6.54,loamy,zaid,drip,381.6,20.5,52.3,15.82
tomato,4.17,clay,kharif,rainfed,816.5,26.2,83.9,20.12
wheat,8.48,black,zaid,sprinkler,976.6,23.4,88.3,25.63
brinjal,4.6,loamy,kharif,drip,947.2,28.4,67.1,23.95
potato,4.59,sandy,kharif,rainfed,1113.4,32.7,66.0,23.6
cauliflower,2.44,clay,zaid,sprinkler,832.0,22.8,63.3,9.91
chili,8.86,sandy,rabi,flood,714.0,21.4,83.1,14.18
wheat,3.85,clay,kharif,rainfed,1042.3,27.7,68.5,9.28
wheat,4.22,sandy,kharif,drip,792.0,28.0,73.6,12.19
cabbage,2.41,loamy,kharif,sprinkler,483.2,20.2,67.5,11.69
cabbage,6.8,sandy,rabi,flood,967.7,32.7,66.9,21.66
rice,2.23,loamy,zaid,flood,633.8,33.5,82.3,11.9
brinjal,6.11,clay,kharif,sprinkler,894.9,21.2,71.8,27.92
onion,3.05,sandy,rabi,drip,865.6,27.2,64.5,17.23
chili,1.47,sandy,kharif,drip,762.5,27.6,64.8,4.28
